iter	RMSE
0	8.125736549
1	7.194789972
2	6.330790858
3	5.849612032
4	5.342376272
5	4.932078641
6	4.606507191
7	4.276585217
8	4.00900345
9	3.697807509
10	3.524740909
11	3.356469679
12	3.198304159
13	3.037814123
14	2.918873075
15	2.825234097
16	2.712027315
17	2.633134696
18	2.55397162
19	2.471086825
20	2.38521519
21	2.344077466
22	2.312361549
23	2.240669989
24	2.191664889
25	2.126231201
26	2.054138289
27	1.989920549
28	1.940601334
29	1.905404801
30	1.85665511
31	1.816084883
32	1.788961812
33	1.753946071
34	1.711182865
35	1.664645479
36	1.645727529
37	1.625285761
38	1.599105513
39	1.571327382
40	1.544288153
41	1.527773021
42	1.490595915
43	1.457649524
44	1.429409021
45	1.392156378
46	1.365371126
47	1.338542736
48	1.323689289
49	1.301719159
50	1.27283413
51	1.247187932
52	1.230280966
53	1.205056341
54	1.192398868
55	1.17984845
56	1.152207529
57	1.140082561
58	1.113772539
59	1.091792663
60	1.077477769
61	1.068061162
62	1.030787603
63	1.010689704
64	0.989303555
65	0.9687314053
66	0.9531555796
67	0.9358483002
68	0.9201665028
69	0.9163956716
70	0.9025005081
71	0.8963894149
72	0.8748673983
73	0.8648195749
74	0.8530780117
75	0.8402452524
76	0.8198796394
77	0.7980839531
78	0.7837128728
79	0.7682673901
80	0.7625541662
81	0.7507375396
82	0.7380012548
83	0.735270387
84	0.7194600046
85	0.7077059849
86	0.6994734405
87	0.6848486175
88	0.6764614415
89	0.6631643844
90	0.651520942
91	0.6336103006
92	0.6257643643
93	0.6154523283
94	0.6077007698
95	0.6003329289
96	0.5880858655
97	0.57349913
98	0.5606488003
99	0.5507375703
