iter	Passed	Remaining
0	1	157
1	2	140
2	4	135
3	5	138
4	7	138
5	8	132
6	9	129
7	10	123
8	11	119
9	12	115
10	13	111
11	15	110
12	16	109
13	17	107
14	18	104
15	19	103
16	21	103
17	23	105
18	25	110
19	29	116
20	32	123
21	37	131
22	41	137
23	43	137
24	44	134
25	46	131
26	47	129
27	48	125
28	50	122
29	51	120
30	54	120
31	56	119
32	58	118
33	60	116
34	62	115
35	63	113
36	65	111
37	66	108
38	68	107
39	70	105
40	72	104
41	74	102
42	75	100
43	77	98
44	79	97
45	81	95
46	83	93
47	85	92
48	87	90
49	88	88
50	89	86
51	90	83
52	91	81
53	92	79
54	93	76
55	94	74
56	96	72
57	97	70
58	98	68
59	99	66
60	101	64
61	102	63
62	103	60
63	104	59
64	106	57
65	107	55
66	108	53
67	109	51
68	111	50
69	113	48
70	114	46
71	118	45
72	120	44
73	121	42
74	123	41
75	125	39
76	127	38
77	128	36
78	129	34
79	131	32
80	132	31
81	133	29
82	134	27
83	135	25
84	136	24
85	137	22
86	139	20
87	140	19
88	141	17
89	142	15
90	143	14
91	144	12
92	146	11
93	148	9
94	150	7
95	151	6
96	155	4
97	157	3
98	158	1
99	159	0
